,frequ,nkill,latitude,longitude,country
Comite d'Action Viticole,8.0,0.0,43.358381,3.1198360000000003,France
Francia,8.0,0.0,41.918890999999995,8.737554,France
Mahaz Fedai Tahrik Islami Afghanistan,8.0,6.0,34.528455,69.17170300000001,Afghanistan
Rashtriya Swayamsevak Sangh,8.0,3.0,11.874477,75.370366,India
"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",8.0,173.0,33.208715999999995,35.572618,Israel
Ninth of June Organization,8.0,0.0,34.053490000000004,-118.245319,United States
Baloch Republican Guards (BRG),8.0,6.0,29.539771999999996,67.876755,Pakistan
Workers/Employees,8.0,4.0,-40.734434,-66.617645,Argentina
Armenian Guerrillas,8.0,48.0,41.093333,45.366111,Soviet Union
Lebanese Armed Revolutionary Faction (LARF),8.0,3.0,48.856614,2.3522220000000003,France
Somali Salvation Front (SSF),8.0,0.0,2.03742,45.337971,Somalia
Communist Party of India- Marxist-Leninist,8.0,20.0,11.703206,76.0834,India
Baloch Liberation Tigers (BLT),8.0,46.0,26.00403,63.056003000000004,Pakistan
Athens and Thessaloniki Arsonist Nuclei,8.0,0.0,40.639348999999996,22.944616,Greece
Oromo Liberation Front,8.0,14.0,14.634123,38.832336,Ethiopia
Soldiers of Truth,7.0,5.0,13.727896,100.524123,Thailand
Argentine Liberation Front (FAL),7.0,1.0,-34.6037,-58.381503,Argentina
Revolutionary Popular Left,7.0,0.0,37.97918,23.716647000000002,Greece
Fezzan Province of the Islamic State,7.0,27.0,29.183302,16.151542000000003,Libya
Sipah-I-Mohammed,7.0,45.0,24.859188,67.017217,Pakistan
Afghan Guerrillas,7.0,32.0,34.533056,69.166111,Afghanistan
Economic Freedom Fighters,7.0,0.0,-27.37443,26.651809000000004,South Africa
Black Star,7.0,0.0,37.989108,23.763439,Greece
Supporters of Joshua Nkomo,7.0,22.0,-21.052336999999998,29.045993,Zimbabwe
Cyprus Turkish People's Movement,7.0,0.0,35.166764,33.367616,Cyprus
Scottish National Liberation Army,7.0,0.0,51.500152,-0.126236,United Kingdom
Tigray Peoples Liberation Front (TPLF),7.0,218.0,12.507338,39.520069,Ethiopia
Militant Minority (Greece),7.0,0.0,38.012073,23.772547,Greece
Rahanwein Resistance Army (RRA),7.0,109.0,4.1230910000000005,43.890845,Somalia
Mob,7.0,0.0,33.600398999999996,73.043426,Pakistan
Shura Council of Mujahideen in Derna,7.0,43.0,32.766667,22.633333,Libya
Laskar Jihad,7.0,12.0,-1.49,120.63333300000001,Indonesia
Pedro Albizu Campos Revolutionary Forces,7.0,0.0,18.399712,-66.049987,United States
Afrikaner Resistance Movement (AWB),7.0,10.0,-26.31662,26.816290000000002,South Africa
Armenians,7.0,7.0,35.696442,51.422973999999996,Iran
Libya Revolutionaries Operations Room (LROR),7.0,6.0,32.876174,13.187507,Libya
Guadeloupe Liberation Army,7.0,1.0,15.998760999999998,-61.725646,Guadeloupe
Revolutionary Action,7.0,0.0,45.463681,9.188171,Italy
Mai Mai Mazembe Militia,7.0,68.0,-0.791773,29.045993,Democratic Republic of the Congo
Kuki Tribal Militants,7.0,37.0,25.111981,93.955078,India
Terror Against Terror,7.0,0.0,31.766496000000004,35.21172,Israel
Landless Peasants' Movement (MST),7.0,5.0,-22.851423,-48.464107,Brazil
Baloch Waja Liberation Army (BWLA),7.0,5.0,24.825105999999998,67.081011,Pakistan
Mujahedeen Shura Council,7.0,67.0,33.3,44.4,Iraq
South Moluccans,7.0,12.0,52.85949,6.517689,Netherlands
Jund al-Khilafah (Tunisia),7.0,75.0,35.327557,8.840873,Tunisia
Survivors of Golfech,7.0,0.0,43.604652,1.444209,France
Anti-Monarchists,7.0,0.0,34.515046000000005,135.736392,Japan
GAC,7.0,0.0,42.817988,-1.644184,Spain
Holy Spirit Movement,7.0,80.0,2.7716790000000002,32.288421,Uganda
Fighting Popular Rally,7.0,0.0,37.97918,23.716647000000002,Greece
Ogaden National Liberation Front (ONLF),7.0,133.0,4.250643,43.847522,Somalia
Lebanese Liberation Front,7.0,7.0,34.438094,35.830837,Lebanon
Gbagbo Loyalists,7.0,21.0,5.351955,-3.9416620000000004,Ivory Coast
Tamil Eelam Liberation Organization (TELO),7.0,38.0,8.64338,80.341889,Sri Lanka
Rebel Military Unit,7.0,158.0,-16.741854999999997,-69.716499,Peru
Hizb al-Tahrir al-Islami (HT),7.0,13.0,41.266667,69.216667,Uzbekistan
Protesters,7.0,4.0,18.5391667,-72.335,Haiti
Pedro Leon Arboleda (PLA),7.0,0.0,4.6013779999999995,-74.07666400000001,Colombia
Symbionese Liberation Army (SLA),7.0,2.0,34.053490000000004,-118.245319,United States
Ansar al-Sharia Operations Room (Syria),7.0,4.0,36.225726,37.114329999999995,Syria
Beirut Martyrs Battalion,7.0,2.0,33.888628999999995,35.495478999999996,Lebanon
Secessionists,7.0,29.0,13.696667000000001,44.730833000000004,Yemen
Ukrainian nationalists,7.0,3.0,50.433846,30.471936,Ukraine
Anti-Government Demonstrators,7.0,5.0,8.994269000000001,-79.518792,Panama
Kuna Indians,7.0,1.0,9.17,-79.1,Panama
Proletarian Fighting Patrol,7.0,0.0,45.070562,7.686619,Italy
Keshet,7.0,0.0,32.085688,34.783684,Israel
The Joint Revolutionary Council,7.0,14.0,4.723091999999999,6.778944999999999,Nigeria
Guerrilla Forces for Liberation,7.0,0.0,18.46617,-66.106654,United States
Al-Nasir Army (Syria),7.0,0.0,35.299167,36.802222,Syria
Maximiliano Hernandez Martinez Brigade,7.0,17.0,13.692879999999999,-89.199161,El Salvador
Fedayeen Khalq (People's Commandos),7.0,0.0,48.856614,2.3522220000000003,France
Nur-al-Din al-Zinki Movement,7.0,66.0,36.198945,37.096724,Syria
Red Brigades Fighting Communist Party (BR-PCC),7.0,4.0,41.89052,12.494249,Italy
Black Order,6.0,24.0,45.539838,10.222956,Italy
Southern Yemen Separatists,6.0,5.0,13.695556,44.731111,Yemen
Syrian Social Nationalist Party,6.0,24.0,33.541351,35.586215,Lebanon
Afghan Mujahideen,6.0,12.0,34.533056,69.166111,Afghanistan
Turkish Hezbollah,6.0,9.0,37.924678,40.211448,Turkey
2 April Group,6.0,0.0,51.500152,-0.126236,United Kingdom
Death to Bazuqueros,6.0,0.0,2.4418599999999997,-76.60616999999999,Colombia
Radicals,6.0,0.0,35.685826,139.756684,Japan
Youth Action Group,6.0,0.0,48.856614,2.3522220000000003,France
Jharkhand Liberation Tigers (JLT),6.0,8.0,22.930188,84.419893,India
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),6.0,16.0,11.667235,9.930258,Nigeria
Liberians United for Reconciliation and Democracy (LURD),6.0,6.0,6.870152,-10.825395,Liberia
Black Hand (Colombia),6.0,32.0,7.131202,-73.124973,Colombia
Forces for the Defense of Democracy (FDD),6.0,14.0,-4.133333,29.8,Burundi
Islamic State in the Greater Sahara (ISGS),6.0,31.0,14.640463,0.033076999999999995,Burkina Faso
Kurdish Rebels,6.0,7.0,35.9139,47.0239,Iran
United People's Democratic Front (UPDF) - Bangladesh,6.0,2.0,23.040799,91.873302,Bangladesh
Jaime Bateman Cayon Group (JBC),6.0,1.0,3.4252190000000002,-76.510584,Colombia
Armed Proletarian Squads,6.0,0.0,45.792752,9.020971000000001,Italy
Tribal Battlefront,6.0,0.0,35.685826,139.756684,Japan
Patriotic Union of Kurdistan (PUK),6.0,128.0,35.54987,45.433493,Iraq
Shan State Progressive Party,6.0,41.0,21.64706,98.12529,Myanmar
Palestinian Revolution Forces,6.0,0.0,32.08415,34.793889,Israel
Egyptian Tawhid and Jihad,6.0,154.0,28.972766999999997,34.653478,Egypt
Islamic Front,6.0,15.0,34.069832,74.809039,India
Black Muslims,6.0,17.0,40.528045,-74.384629,United States
Albanian National Army (ANA),6.0,2.0,42.008513,20.974304999999998,Macedonia
David Yau Yau Militia,6.0,218.0,7.179238000000001,32.358821,South Sudan
Right Sector,6.0,51.0,48.015883,37.80285,Ukraine
Armed Falange,6.0,0.0,40.353291,18.174015,Italy
International Revolutionary Front,6.0,0.0,37.981781,23.739891,Greece
Republican Action Force,6.0,24.0,54.597269,-5.930109,United Kingdom
Shan State Army - South (SSA-S),6.0,29.0,16.799582,96.15090699999999,Myanmar
Illuminating Paths of Solidarity,6.0,0.0,37.982394,23.696198000000003,Greece
OAS-MRP,6.0,0.0,-34.6037,-58.381503,Argentina
Tripoli Revolutionaries Battalion,6.0,2.0,32.884294,13.179692000000001,Libya
Karenni National Progressive Party,6.0,34.0,16.799582,96.15090699999999,Myanmar
Taxi Drivers,6.0,10.0,10.666667,-61.516667000000005,Trinidad and Tobago
Marxist-Leninist Armed Propaganda Unit,6.0,8.0,41.018612,28.921206,Turkey
Aryan Nation,6.0,0.0,47.677755,-116.780419,United States
International Revolutionary Solidarity,6.0,0.0,48.856614,2.3522220000000003,France
Supporters of Qadhafi,6.0,0.0,51.500152,-0.126236,United Kingdom
Mujahideen Kashmir,6.0,3.0,28.632381,77.220004,India
Commando Adolph Hitler,6.0,0.0,42.817988,-1.644184,Spain
Chilean Anti-Communist Alliance (ACHA),6.0,1.0,-33.469115,-70.641997,Chile
Armed Nucleus for Popular Autonomy,6.0,1.0,48.856614,2.3522220000000003,France
Armed Proletarian Power,6.0,1.0,41.214436,9.407588,Italy
Hmar People's Convention-Democracy (HPC-D),6.0,5.0,23.727107,92.717639,India
Opposition Militants,6.0,7.0,22.347537,91.812332,Bangladesh
Nepal Defense Army,6.0,5.0,27.676957,85.30205,Nepal
Tanzim,6.0,4.0,32.226019,35.260946999999994,West Bank and Gaza Strip
Al-Shuda Brigade,6.0,23.0,32.726602,74.857026,India
People's Democratic Party (PDP),6.0,2.0,6.297885,7.933992,Nigeria
February 17 Martyrs Brigade,6.0,4.0,32.092557,20.06719,Libya
World Church of the Creator,6.0,3.0,39.845845000000004,-88.95245899999999,United States
Adivasi National Liberation Army (ANLA),6.0,6.0,26.575482,93.893271,India
Basque Rectitudes,6.0,0.0,43.492948999999996,-1.474841,France
Kata'ib Hezbollah,6.0,64.0,33.3,44.4,Iraq
E. Timorese Youths,6.0,3.0,-8.549660000000001,125.566599,Indonesia
Workers Brigade for Communism,6.0,1.0,45.812032,9.085614999999999,Italy
Red Guerrilla,6.0,0.0,41.234782,1.811222,Spain
Popular Liberation Resistance Force,6.0,0.0,18.456792,-69.951164,Dominican Republic
Revolutionary Front for National Liberation,6.0,0.0,8.994269000000001,-79.518792,Panama
Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM),6.0,12.0,35.19766,71.874921,Pakistan
Left-Wing Demonstrators,6.0,0.0,51.964711,7.628498,Germany
Morazanist Front for the Liberation of Honduras (FMLH),6.0,31.0,14.58139658,-85.55518578,Honduras
Extraparliamentary Opposition (APO),6.0,0.0,52.505803,13.331741000000001,West Germany (FRG)
Tamil Nadu Liberation Army,6.0,0.0,11.93857,79.820083,India
Fatah Uprising,6.0,0.0,32.620832,35.551109999999994,Israel
Armed Group for the Liberation of Guadeloupe (GLAG),6.0,1.0,16.2411,-61.5331,Guadeloupe
Manuel Jose Arce Commando,6.0,1.0,13.692879999999999,-89.199161,El Salvador
Unemployed Persons,6.0,0.0,53.786875,-2.2453220000000003,United Kingdom
Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),6.0,11.0,24.913752,67.046323,Pakistan
Eelam People's Revolutionary Liberation Front (EPRLF),6.0,35.0,9.66123,80.02558,Sri Lanka
American Indian Movement,6.0,2.0,43.027440000000006,-102.556246,United States
Jamaah Ansharut Daulah,6.0,11.0,-6.187549,106.823085,Indonesia
Hijaz Province of the Islamic State,6.0,25.0,18.221272,42.508109999999995,Saudi Arabia
Revolutionary Armed Forces- Argentina (FAR-A),5.0,2.0,-34.458721000000004,-58.90725,Argentina
Montoneros Patria Libre,5.0,0.0,-0.18143900000000002,-78.46726600000001,Ecuador
Patriotic Liberation Front,5.0,0.0,-12.046378,-77.04279100000001,Peru
Hynniewtrep National Liberation Council (HNLC),5.0,1.0,25.579549,91.891915,India
National Congress for the Defense of the People (CNDP),5.0,0.0,-1.023421,29.113061,Democratic Republic of the Congo
Croatian Freedom Fighters,5.0,1.0,40.712784,-74.005941,United States
Islambouli Brigades of al-Qaida,5.0,120.0,55.778725,37.632337,Russia
Al-Qaqa Brigade,5.0,2.0,32.87428,13.130787,Libya
Puerto Rican Armed Resistance,5.0,1.0,40.712784,-74.005941,United States
Anti-United States extremists,5.0,0.0,19.432608,-99.133207,Mexico
Mozambique Liberation Front (FRELIMO),5.0,54.0,-19.796382,34.884487,Mozambique
Ahrar Al-Jalil (Free People of the Galilee),5.0,9.0,31.781706,35.230461,Israel
Fred Hampton Unit of the People's Forces,5.0,0.0,42.811978,-70.872638,United States
Africa Marine Commando,5.0,7.0,4.613543,8.594081,Cameroon
Communist Anti-Nuclear Front,5.0,0.0,48.856614,2.3522220000000003,France
Popular Front for Justice in the Congo,5.0,1.0,1.595768,29.417932,Democratic Republic of the Congo
Evan Mecham Eco-Terrorist International Conspiracy (EMETIC),5.0,0.0,35.1982,-111.65130400000001,United States
Drug-Related Terrorists,5.0,13.0,19.108931,-72.697548,Haiti
Coca Farmers,5.0,6.0,-16.283333,-65.383333,Bolivia
Muslim Demonstrators,5.0,3.0,25.066872,91.40735600000001,Bangladesh
Democratic Revolutionary Front (FDR),5.0,22.0,13.692879999999999,-89.199161,El Salvador
Villagers,5.0,4.0,27.798611100000002,30.7727778,Egypt
Hekla Reception Committee-Initiative for More Social Eruptions,5.0,0.0,52.537758999999994,13.141829999999999,Germany
Independent Peasants Union,5.0,1.0,19.432608,-99.133207,Mexico
Abu Obaida bin Jarrah Brigade,5.0,0.0,32.75224,12.727866,Libya
Mujahedeen Shura Council in the Environs of Jerusalem,5.0,3.0,29.562707,34.944649,Israel
Zimbabwe Patriotic Front,5.0,3.0,-18.966075,32.635359,Rhodesia
International Committee Against Nazism,5.0,0.0,41.88415,-87.632409,United States
Al-Arifeen,5.0,6.0,34.083658,74.797368,India
Hezb-e Wahdat-e Islami-yi Afghanistan,5.0,5.0,34.533056,69.166111,Afghanistan
Al-Shabaab al-Mu'minin,5.0,6.0,15.328695000000002,44.214171,Yemen
People's Revolutionary Militias (MRP),5.0,0.0,-2.170832,-79.922359,Ecuador
Kuki tribesmen,5.0,58.0,24.346092000000002,93.699904,India
Jammu and Kashmir Islamic Front,5.0,22.0,34.093063,74.81308,India
Kirat Janabadi Workers Party,5.0,0.0,29.716389000000003,80.770278,Nepal
Long-time Muslim immigrants from Bangladesh,5.0,0.0,26.329008,91.005433,India
Jabha East Africa,5.0,15.0,-2.522078,32.901973,Tanzania
Turkestan Islamic Party,5.0,3.0,36.11752,37.050898,Syria
Harakat ul-Mujahidin (HuM),5.0,21.0,33.14575,75.548049,India
Jewish Action Movement,5.0,0.0,41.88415,-87.632409,United States
Americans for a Competent Federal Judicial System,5.0,2.0,33.748315000000005,-84.391109,United States
Red Cell,5.0,0.0,50.084284000000004,8.238717,West Germany (FRG)
Phalange,5.0,27.0,33.888628999999995,35.495478999999996,Lebanon
Che Guevara Guerrillas,5.0,0.0,10.502961,-66.917253,Venezuela
Kharkiv Partisans,5.0,4.0,49.991395000000004,36.225601,Ukraine
rioters,5.0,8.0,29.200444,54.32597,Iran
Weichan Auka Mapu,5.0,0.0,-38.667719,-72.224441,Chile
Bangladesh Sarbahara Party,5.0,42.0,23.474584,89.171104,Bangladesh
People's Army (Myanmar),5.0,24.0,21.64706,98.12529,Myanmar
Hutus Former Soldiers,5.0,49.0,-2.080972,28.942273999999998,Zaire
Communist Territorial Nuclei,5.0,1.0,45.070562,7.686619,Italy
Azania People's Organization (AZAPO),5.0,12.0,-32.882803,27.399676,South Africa
Ajnad al-Sham,5.0,161.0,36.174452,37.097709,Syria
People's Revolutionary Command (CRP),5.0,0.0,-12.046378,-77.04279100000001,Peru
Arab Revolution/Liberation Vanguard Organization,5.0,5.0,29.365,48.001389,Kuwait
Salafia Jihadia,5.0,45.0,33.59,-7.61,Morocco
Ein Tyrol (One Tyrol),5.0,0.0,46.496714000000004,11.358008,Italy
Puerto Rican Revolutionary Movement,5.0,0.0,40.78306,-73.971249,United States
Al-Madina,5.0,4.0,34.083658,74.797368,India
Shan United Revolutionary Army,5.0,16.0,20.448495,99.884194,Myanmar
Khristos Kasimis,5.0,0.0,37.97918,23.716647000000002,Greece
Circle of Violators/Nucleus Lovers of Anomy,5.0,0.0,38.010095,23.824182,Greece
The Northern Alliance (or United Islamic Front for Salvation of Afghanistan - UIFSA),5.0,4.0,34.533056,69.166111,Afghanistan
Al-Islah Party,5.0,25.0,15.449317,44.129521000000004,Yemen
Madhesh Rastra Janatantrik Revolutionary (RJR) - Nepal,5.0,3.0,26.795702000000002,86.2971,Nepal
Kisan Indian Organization,5.0,7.0,14.799929999999998,-83.7421,Nicaragua
Al-Adl Wal Ihsane,5.0,3.0,34.680318,-1.907786,Morocco
Right Wing Vigilantes,5.0,11.0,13.692879999999999,-89.199161,El Salvador
National Organization of Cypriot Fighters (EOKA),5.0,3.0,35.166721,33.367573,Cyprus
Kanak Socialist National Liberation Front,5.0,4.0,-21.612126999999997,165.40096599999998,New Caledonia
Fatah Hawks,5.0,5.0,31.522561,34.453593,West Bank and Gaza Strip
United Liberation Torchbearers Forces,5.0,6.0,27.718332,85.325337,Nepal
Samyukta Janatantrik Terai Mukti Morcha (SJTMM),5.0,3.0,27.04477,84.867372,Nepal
Dagestani Shari'ah Jamaat,5.0,13.0,42.978367999999996,47.491066,Russia
Algeria Province of the Islamic State,5.0,3.0,36.382601,6.633713,Algeria
Zero Tolerance,5.0,0.0,37.978845,23.726295,Greece
Mungiki Sect,5.0,8.0,-1.28518,36.821107,Kenya
Armed Communist Formations,5.0,0.0,43.768732,11.256901,Italy
Khun Sa Guerrillas,5.0,3.0,20.448495,99.884194,Myanmar
Protestant Action Group,5.0,6.0,54.597269,-5.930109,United Kingdom
Abkhazian Separatists,5.0,58.0,42.884240000000005,41.139628,Georgia
Miscreants,5.0,1.0,24.893379,67.028061,Pakistan
Welsh Extremists,5.0,0.0,52.927765,-4.133943,United Kingdom
Pan Africanist Congress (PAC),5.0,6.0,-26.246319,27.853677,South Africa
Anti-State Justice,5.0,0.0,37.97918,23.716647000000002,Greece
Fighting Guerrilla Formation,5.0,0.0,37.97918,23.716647000000002,Greece
Breton Separatists,5.0,0.0,48.856614,2.3522220000000003,France
Al-Ittihaad al-Islami (AIAI),5.0,23.0,2.0676810000000003,45.335575,Somalia
Jamat al-Tawhid wal-Qisas,5.0,0.0,24.695102,84.991275,India
Popular Revolutionary Vanguard (VPR),5.0,2.0,-22.908278,-43.197026,Brazil
Jamaat-al-Fuqra,5.0,1.0,45.511795,-122.675629,United States
Benghazi Defense Brigades (BDB),5.0,29.0,32.101207,20.096429999999998,Libya
Kenya African National Union (KANU),5.0,5.0,-1.475259,36.961702,Kenya
Fuerza Nueva,5.0,1.0,40.416691,-3.7003449999999996,Spain
Front for the Restoration of Unity and Democracy,5.0,236.0,11.759350999999999,42.791767,Djibouti
Somali National Movement,5.0,30.0,9.559225999999999,44.070190999999994,Somalia
Gracchus Babeuf,5.0,0.0,48.856614,2.3522220000000003,France
Druzes,5.0,0.0,33.789033,35.480734999999996,Lebanon
Conscientious Arsonists (CA),5.0,0.0,37.97918,23.716647000000002,Greece
Rival caste,5.0,11.0,9.451516999999999,77.55442099999999,India
Meinhof-Puig-Antich Group,5.0,0.0,48.856614,2.3522220000000003,France
All Burma Students' Democratic Front (ABSDF),5.0,1.0,16.482735,97.622191,Myanmar
Red Guerilla Family,5.0,0.0,37.777125,-122.41964399999999,United States
Cambodian Freedom Fighters (CFF),5.0,8.0,12.533333,103.916667,Cambodia
Revolutionary Perspective,5.0,0.0,47.36865,8.539182,Switzerland
Revolutionary Organization of Socialist Muslims,5.0,2.0,41.89052,12.494249,Italy
November 21 Organization,5.0,0.0,37.97918,23.716647000000002,Greece
Revolutionary Force Seven,5.0,0.0,38.890370000000004,-77.031959,United States
Base Movement,5.0,0.0,13.206952,79.098569,India
Rohingya Solidarity Organization,5.0,21.0,20.816667000000002,92.366667,Myanmar
Armenian Group,5.0,0.0,40.930004,45.467064,Soviet Union
Revolutionary Armed Forces of Nicaragua (FARN),5.0,98.0,11.433333,-85.833333,Nicaragua
Sudan Revolutionary Front (SRF),5.0,28.0,11.967456,30.310484999999996,Sudan
Jaish al-Mujahideen (Syria),5.0,9.0,36.182239,37.096699,Syria
Zarate Willka Armed Forces of Liberation,5.0,2.0,-16.500194,-68.150162,Bolivia
Nduma Defense of Congo (NDC),5.0,22.0,-1.049373,29.031452,Democratic Republic of the Congo
Kurdish Sympathizers,5.0,0.0,52.372068,9.735686,Germany
Farmers,5.0,5.0,4.922813,-52.326976,French Guiana
Kurdish Democratic Party-Iraq (KDP),4.0,3.0,35.54987,45.433493,Iraq
Anti-Communist Commando of the South,4.0,1.0,14.297778,-90.78694399999999,Guatemala
February 14th Movement,4.0,0.0,26.216666999999998,50.583333,Bahrain
Hill Tiger Force (HTF),4.0,1.0,25.352912,93.017894,India
United Achik Liberation Army (UALA),4.0,17.0,25.508723,90.614388,India
Sudtiroler Volkspartei-south tyrol people's party,4.0,0.0,46.496714000000004,11.358008,Italy
Odua Peoples' Congress (OPC),4.0,2.0,7.616008,4.744781,Nigeria
Save Kashmir Movement,4.0,10.0,34.083658,74.797368,India
Kurdish Democratic Party-Iran (KDP),4.0,15.0,35.189479999999996,46.467194,Iran
Serbian Nationalists,4.0,3.0,45.35617,16.051675,Croatia
Group of Popular Fighters,4.0,0.0,37.983923,23.729352,Greece
Kuki Liberation Army (KLA),4.0,0.0,24.8086,93.948309,India
Mujahideen Islam Pattani,4.0,8.0,6.190087999999999,101.797961,Thailand
Popular Militia (Chile),4.0,0.0,-33.469115,-70.641997,Chile
September 11,4.0,0.0,-41.28646,174.776236,New Zealand
Niger Delta People's Volunteer Force (NDPVF),4.0,0.0,4.561389,6.751944,Nigeria
Armed Forces of National Liberation- Venezuela (FALN),4.0,0.0,10.502961,-66.917253,Venezuela
Sheikh Omar Hadid Brigade,4.0,0.0,31.668789,34.574252,Israel
Armed Communist Nucleus,4.0,0.0,44.49419,11.346518,Italy
Sudanese People's Liberation Forces,4.0,0.0,9.988767,30.064642,Sudan
Free Idlib Army,4.0,0.0,36.211683,37.1473,Syria
Comite Argentino de Lucha Anti-Imperialisto,4.0,0.0,-34.6037,-58.381503,Argentina
Resistenza Corsa,4.0,0.0,42.697596000000004,9.450273,France
Sandinist People's Army (EPS),4.0,1.0,13.826472,-86.70174399999999,Honduras
The Association for Islamic Mobilisation and Propagation (UAMSHO),4.0,1.0,-6.162273,39.192116,Tanzania
Secret Organization of al-Qaida in Europe,4.0,56.0,51.525483,-0.128843,United Kingdom
National Resistance Movement (NRM),4.0,228.0,0.350848,32.580224,Uganda
Real Ulster Freedom Fighters (UFF) - Northern Ireland,4.0,0.0,54.713381999999996,-6.216761,United Kingdom
Al-Faruo Battalion,4.0,0.0,33.888628999999995,35.495478999999996,Lebanon
Gang,4.0,9.0,6.618911,3.305532,Nigeria
Coalition for Unity and Democracy (CUD),4.0,0.0,8.977146000000001,38.773226,Ethiopia
Column 88,4.0,0.0,51.500152,-0.126236,United Kingdom
Huria Kristen Batak Protestan (HKBP),4.0,1.0,-0.95,100.35305600000001,Indonesia
Armed Proletarian Groups for Communism,4.0,0.0,45.463681,9.188171,Italy
14 K Triad,4.0,0.0,22.192266,113.54763100000001,Macau
Provisional Coordinating Committee for the Defense of Labor,4.0,0.0,18.46617,-66.106654,United States
Student Demonstrators,4.0,1.0,10.156611,-67.99721,Venezuela
Activists,4.0,3.0,23.999195,90.79132299999999,Bangladesh
Mukhtar Army,4.0,35.0,33.298338,44.244649,Iraq
Anti-Communist Vigilante Group,4.0,142.0,7.317458,80.70203599999999,Sri Lanka
Pattali Makkal Katchi (PMK),4.0,0.0,12.103849,78.488639,India
Brazilian Anti-Communist Alliance (AAB),4.0,0.0,-22.908278,-43.197026,Brazil
Arab Liberation Front (ALF),4.0,9.0,32.084933,34.890149,Israel
Revolutionary Action of Liberation,4.0,0.0,37.97918,23.716647000000002,Greece
Ansar Al Sunnah (Palestine),4.0,2.0,31.192114,34.449473,Israel
Nationalist Patriotic Alliance (APN),4.0,0.0,-34.891151,-56.187214000000004,Uruguay
Achik National Liberation Army (ANLA),4.0,1.0,25.868492,90.553329,India
Rajneeshees,4.0,0.0,45.601555,-121.183434,United States
Revolutionary Front for Hatian Advancement and Progress (FRAPH),4.0,39.0,18.5391667,-72.335,Haiti
Direct Action Against Drugs (DADD),4.0,4.0,54.597269,-5.930109,United Kingdom
Makhachkala Gang,4.0,2.0,42.966631,47.512629,Russia
Al-Badr,4.0,9.0,34.090284999999994,74.800092,India
Al-Furqan Brigades,4.0,27.0,35.814405,36.320009000000006,Syria
Ingush Rebels,4.0,10.0,43.147789,44.715283,Russia
Phineas Priesthood,4.0,0.0,47.65713,-117.24786399999999,United States
Pro-Indonesia extremists,4.0,6.0,-8.55902,125.578194,Indonesia
Modakeke Ethnics,4.0,64.0,7.466666,4.566667,Nigeria
Spanish Armed Group,4.0,1.0,43.311307,-1.900896,Spain
Abbala extremists,4.0,4.0,11.648864,24.904220000000002,Sudan
Merille Militia,4.0,7.0,4.455595,35.929689,Kenya
Punjabi Taliban,4.0,14.0,24.824478,67.163958,Pakistan
United Front for Democratic Change (FUC),4.0,0.0,12.226103,21.412573000000002,Chad
Revolutionary Solidarity,4.0,1.0,37.97918,23.716647000000002,Greece
Sabaot Land Defense Force (SLDF),4.0,19.0,1.0386959999999998,34.980149,Kenya
Grupo Estrella,4.0,0.0,18.46617,-66.106654,United States
Israeli Terrorist Group,4.0,0.0,31.766496000000004,35.21172,Israel
New Order- France,4.0,0.0,48.856614,2.3522220000000003,France
Fatah al-Islam,4.0,5.0,33.543599,35.380072,Lebanon
Al-Ahwaz Arab People's Democratic Front,4.0,18.0,31.285505999999998,48.643415999999995,Iran
Otpor,4.0,3.0,34.14633,-118.248364,United States
Dignity for Colombia,4.0,3.0,4.5981,-74.07603,Colombia
People's Liberation Organization of Tamil Eelam,4.0,15.0,8.410556,80.05111099999999,Sri Lanka
Dev Yol,4.0,0.0,41.010676000000004,28.957255,Turkey
New Jewish Defense League,4.0,0.0,40.712784,-74.005941,United States
CCCCC,4.0,0.0,41.89052,12.494249,Italy
Basque terrorists,4.0,2.0,42.846718,-2.6716349999999998,Spain
Anti-Environmentalists,4.0,0.0,35.686975,-105.937799,United States
Popular Rage,4.0,0.0,37.97918,23.716647000000002,Greece
Lebanese Socialist Revolutionary Organization,4.0,4.0,33.888628999999995,35.495478999999996,Lebanon
Aristide supporters,4.0,15.0,18.5391667,-72.335,Haiti
Milicias Rodriguistas,4.0,0.0,-33.469115,-70.641997,Chile
Armenian militants,4.0,23.0,40.140654999999995,44.537997999999995,Soviet Union
Sicarii,4.0,1.0,31.766496000000004,35.21172,Israel
Spanish National Action,4.0,2.0,43.320812,-1.984447,Spain
National Liberation Force of Bengalis (Bangali Janamukti Bahini),4.0,0.0,26.49598,90.702507,India
Student Front of the People,4.0,4.0,9.933333,-84.083333,Costa Rica
"Covenant, Sword and the Arm of the Lord (CSA)",4.0,1.0,33.43096,-94.035794,United States
Donskoy Army,4.0,1.0,48.867129999999996,39.052082,Ukraine
Achik National Cooperative Army (ANCA),4.0,2.0,25.901638000000002,90.776556,India
Bharatiya Janata Party,4.0,7.0,11.769602,75.542227,India
National Integration Front (FIN),4.0,0.0,40.712784,-74.005941,United States
Georgian extremists,4.0,1.0,42.615404,41.71986961,Georgia
Pro-Palestinian Group,4.0,0.0,-16.500194,-68.150162,Bolivia
